Country,Total_Cases,New_Cases,Total_Death,New_Deaths,Total_Recov,Active_Cases,Serious,Tot_Cases_1M,Tot_Deaths_1M
USA,85594,159,1300,5,1868,82426,2122,259,4
China,81340,55,3292,5,74588,3460,1034,57,2
Italy,80589,,8215,,10361,62013,3612,1333,136
Spain,57786,,4365,,7015,46406,3166,1236,93
Germany,43938,,267,,5673,37998,23,524,3
Iran,29406,,2234,,10457,16715,2746,350,27
France,29155,,1696,,4948,22511,3375,447,26
Switzerland,11811,,192,,131,11488,141,1365,22
UK,11658,,578,,135,10945,163,172,9
S. Korea,9332,91,139,8,4528,4665,59,182,3
Netherlands,7431,,434,,3,6994,761,434,25
Austria,6909,,49,,112,6748,96,767,5
Belgium,6235,,220,,675,5340,605,538,19
Canada,4043,,39,,228,3776,120,107,1
Turkey,3629,,75,,26,3528,136,43,1
Portugal,3544,,60,,43,3441,61,348,6
Norway,3372,,14,,6,3352,70,622,3
Australia,3050,,13,,170,2867,23,120,1
Brazil,2985,,77,,6,2902,18,14,0
Sweden,2840,,77,,16,2747,200,281,8
Israel,2693,,8,,68,2617,46,311,1
Malaysia,2031,,23,,215,1793,45,63,1
Czechia,1925,,9,,10,1906,34,180,1
Denmark,1877,,41,,1,1835,94,324,7
Ireland,1819,,19,,5,1795,47,368,4
Luxembourg,1453,,9,,6,1438,3,2321,14
Ecuador,1403,,34,,3,1366,58,80,2
Japan,1387,,47,,359,981,57,11,0
Chile,1306,,4,,22,1280,7,68,0
Poland,1221,,16,,7,1198,3,32,0
Pakistan,1201,,9,,21,1171,5,5,0
Thailand,1045,,4,,88,953,4,15,0
Romania,1029,,23,,94,912,29,53,1
Saudi Arabia,1012,,3,,33,976,6,29,0
Finland,958,,5,,10,943,24,173,1
South Africa,927,,,,12,915,2,16,
Indonesia,893,,78,,35,780,,3,0
Greece,892,,27,,36,829,53,86,3
Russia,840,,3,,38,799,8,6,0
Iceland,802,,2,,82,718,11,2350,6
India,727,,20,,45,662,,1,0
Diamond Princess,712,,10,,597,105,15,,
Philippines,707,,45,,28,634,1,6,0
Singapore,683,,2,,172,509,17,117,0
Panama,674,,9,,2,663,20,156,2
Argentina,589,,12,,72,505,,13,0
Mexico,585,110,6,,4,575,1,5,0
Peru,580,,9,,14,557,14,18,0
Slovenia,562,,6,,10,546,14,270,3
Qatar,549,,,,43,506,6,191,
Estonia,538,,1,,8,529,6,406,1
Egypt,495,,24,,102,369,,5,0
Croatia,495,,3,,22,470,14,121,1
Colombia,491,,6,,8,477,,10,0
Dominican Republic,488,,10,,3,475,,45,1
Bahrain,458,,4,,204,250,1,269,2
Serbia,457,,7,,15,435,21,52,1
Hong Kong,454,,4,,110,340,5,61,1
Iraq,382,,36,,105,241,,9,1
Lebanon,368,,6,,23,339,3,54,1
New Zealand,368,,,,37,331,1,76,
Algeria,367,,25,,29,313,,8,1
UAE,333,,2,,52,279,2,34,0
Lithuania,299,,4,,1,294,1,110,1
Armenia,290,,1,,18,271,6,98,0
Morocco,275,,11,,8,256,1,7,0
Bulgaria,264,,3,,8,253,8,38,0
Hungary,261,,10,,28,223,6,27,1
Taiwan,252,,2,,29,221,,11,0
Latvia,244,,,,1,243,,129,
Uruguay,238,,,,,238,3,69,
Costa Rica,231,,2,,2,227,5,45,0
Slovakia,226,,,,2,224,2,41,
Andorra,224,,3,,1,220,6,2899,39
Jordan,212,,,,1,211,,21,
San Marino,208,,21,,4,183,12,6130,619
Kuwait,208,,,,49,159,7,49,
North Macedonia,201,,3,,3,195,1,96,1
Tunisia,197,,5,,2,190,10,17,0
Ukraine,196,,5,,1,190,,4,
